,deg,mu,partition,acc_measure,acc_value
259,20,0.4,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.897948348
260,20,0.4,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.935916923
261,20,0.4,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.920210905
262,20,0.4,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.939224265
263,20,0.4,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.922890316
264,20,0.5,Leiden-MOD,NMI,0.644562383
265,20,0.5,Leiden-MOD,ARI,0.447440503
266,20,0.5,ECG,NMI,0.744774848
267,20,0.5,ECG,ARI,0.620102219
268,20,0.5,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.717548675
269,20,0.5,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.574037699
270,20,0.5,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.743712368
271,20,0.5,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.635035033
272,20,0.5,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.776079728
273,20,0.5,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.665882756
274,20,0.5,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.75804277
275,20,0.5,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.626783441
276,20,0.6,Leiden-MOD,NMI,0.214387042
277,20,0.6,Leiden-MOD,ARI,0.089974346
278,20,0.6,ECG,NMI,0.343059332
279,20,0.6,ECG,ARI,0.195128165
280,20,0.6,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.321248155
281,20,0.6,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.177621857
282,20,0.6,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.32961038
283,20,0.6,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.186139236
284,20,0.6,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.593200196
285,20,0.6,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.190098994
286,20,0.6,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.597349363
287,20,0.6,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.13374801
288,20,0.7,Leiden-MOD,NMI,0.05737142
289,20,0.7,Leiden-MOD,ARI,0.007934029
290,20,0.7,ECG,NMI,0.09134974
291,20,0.7,ECG,ARI,0.020211162
292,20,0.7,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.097790658
293,20,0.7,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.01916715
294,20,0.7,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.097072217
295,20,0.7,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.016932359
296,20,0.7,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.555445921
297,20,0.7,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.00827752
298,20,0.7,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.564637641
299,20,0.7,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.004007327
300,20,0.8,Leiden-MOD,NMI,0.015279155
301,20,0.8,Leiden-MOD,ARI,0.000661145
302,20,0.8,ECG,NMI,0.033136811
303,20,0.8,ECG,ARI,0.004137931
304,20,0.8,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.025428897
305,20,0.8,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.003110503
306,20,0.8,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.040179327
307,20,0.8,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.004006266
308,20,0.8,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.543741567
309,20,0.8,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.000622806
310,20,0.8,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.561421706
311,20,0.8,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.000103699
312,20,0.9,Leiden-MOD,NMI,0.010098852
