,k,n,res,method,partition,acc_measure,acc_value
222,1000,10,mod,leiden-mod,"Strict(np=50,Leiden-mod)",Recall,0
223,1000,10,mod,leiden-mod,"Strict(np=50,Leiden-mod)",F1-Score,0
224,5000,10,mod,leiden-mod,Leiden-mod,NMI,0.840066015
225,5000,10,mod,leiden-mod,Leiden-mod,AMI,0.660961017
226,5000,10,mod,leiden-mod,Leiden-mod,ARI,0.156656812
227,5000,10,mod,leiden-mod,Leiden-mod,FPR,0
228,5000,10,mod,leiden-mod,Leiden-mod,FNR,0
229,5000,10,mod,leiden-mod,Leiden-mod,Precision,0
230,5000,10,mod,leiden-mod,Leiden-mod,Recall,0
231,5000,10,mod,leiden-mod,Leiden-mod,F1-Score,0
232,5000,10,mod,louvain,Louvain,NMI,0.839288743
233,5000,10,mod,louvain,Louvain,AMI,0.660000482
234,5000,10,mod,louvain,Louvain,ARI,0.154034641
235,5000,10,mod,louvain,Louvain,FPR,0
236,5000,10,mod,louvain,Louvain,FNR,0
237,5000,10,mod,louvain,Louvain,Precision,0
238,5000,10,mod,louvain,Louvain,Recall,0
239,5000,10,mod,louvain,Louvain,F1-Score,0
240,5000,10,mod,leiden-mod,FastEnsemble(Leiden-mod),NMI,0.864481833
241,5000,10,mod,leiden-mod,FastEnsemble(Leiden-mod),AMI,0.692799483
242,5000,10,mod,leiden-mod,FastEnsemble(Leiden-mod),ARI,0.197359375
243,5000,10,mod,leiden-mod,FastEnsemble(Leiden-mod),FPR,0
244,5000,10,mod,leiden-mod,FastEnsemble(Leiden-mod),FNR,0
245,5000,10,mod,leiden-mod,FastEnsemble(Leiden-mod),Precision,0
246,5000,10,mod,leiden-mod,FastEnsemble(Leiden-mod),Recall,0
247,5000,10,mod,leiden-mod,FastEnsemble(Leiden-mod),F1-Score,0
248,5000,10,mod,louvain,FastEnsemble(Louvain),NMI,0.865551402
249,5000,10,mod,louvain,FastEnsemble(Louvain),AMI,0.69429745
250,5000,10,mod,louvain,FastEnsemble(Louvain),ARI,0.200061374
251,5000,10,mod,louvain,FastEnsemble(Louvain),FPR,0
252,5000,10,mod,louvain,FastEnsemble(Louvain),FNR,0
253,5000,10,mod,louvain,FastEnsemble(Louvain),Precision,0
254,5000,10,mod,louvain,FastEnsemble(Louvain),Recall,0
255,5000,10,mod,louvain,FastEnsemble(Louvain),F1-Score,0
256,5000,10,mod,leiden-mod,ECG,NMI,0.946331853
257,5000,10,mod,leiden-mod,ECG,AMI,0.841294433
258,5000,10,mod,leiden-mod,ECG,ARI,0.555439968
259,5000,10,mod,leiden-mod,ECG,FPR,0
260,5000,10,mod,leiden-mod,ECG,FNR,0
261,5000,10,mod,leiden-mod,ECG,Precision,0
262,5000,10,mod,leiden-mod,ECG,Recall,0
263,5000,10,mod,leiden-mod,ECG,F1-Score,0
264,5000,10,mod,leiden-mod,"Strict(np=10,Leiden-mod)",NMI,0.891706343
265,5000,10,mod,leiden-mod,"Strict(np=10,Leiden-mod)",AMI,0.733866978
266,5000,10,mod,leiden-mod,"Strict(np=10,Leiden-mod)",ARI,0.254103494
267,5000,10,mod,leiden-mod,"Strict(np=10,Leiden-mod)",FPR,0
268,5000,10,mod,leiden-mod,"Strict(np=10,Leiden-mod)",FNR,0
269,5000,10,mod,leiden-mod,"Strict(np=10,Leiden-mod)",Precision,0
270,5000,10,mod,leiden-mod,"Strict(np=10,Leiden-mod)",Recall,0
271,5000,10,mod,leiden-mod,"Strict(np=10,Leiden-mod)",F1-Score,0
272,5000,10,mod,leiden-mod,"Strict(np=50,Leiden-mod)",NMI,0.902801504
273,5000,10,mod,leiden-mod,"Strict(np=50,Leiden-mod)",AMI,0.752646235
274,5000,10,mod,leiden-mod,"Strict(np=50,Leiden-mod)",ARI,0.284968465
275,5000,10,mod,leiden-mod,"Strict(np=50,Leiden-mod)",FPR,0
276,5000,10,mod,leiden-mod,"Strict(np=50,Leiden-mod)",FNR,0
277,5000,10,mod,leiden-mod,"Strict(np=50,Leiden-mod)",Precision,0
278,5000,10,mod,leiden-mod,"Strict(np=50,Leiden-mod)",Recall,0
279,5000,10,mod,leiden-mod,"Strict(np=50,Leiden-mod)",F1-Score,0
,90,10,mod,louvain,FastConsensus(Louvain),NMI,1
,90,10,mod,louvain,FastConsensus(Louvain),AMI,1
,90,10,mod,louvain,FastConsensus(Louvain),ARI,1
,90,10,mod,louvain,FastConsensus(Louvain),FPR,0
,90,10,mod,louvain,FastConsensus(Louvain),FNR,0
,90,10,mod,louvain,FastConsensus(Louvain),Precision,1
,90,10,mod,louvain,FastConsensus(Louvain),Recall,1
,90,10,mod,louvain,FastConsensus(Louvain),F1-Score,1
,100,10,mod,louvain,FastConsensus(Louvain),NMI,1
,100,10,mod,louvain,FastConsensus(Louvain),AMI,1
,100,10,mod,louvain,FastConsensus(Louvain),ARI,1
,100,10,mod,louvain,FastConsensus(Louvain),FPR,0
,100,10,mod,louvain,FastConsensus(Louvain),FNR,0
,100,10,mod,louvain,FastConsensus(Louvain),Precision,1
,100,10,mod,louvain,FastConsensus(Louvain),Recall,1
,100,10,mod,louvain,FastConsensus(Louvain),F1-Score,1
,500,10,mod,louvain,FastConsensus(Louvain),NMI,1
,500,10,mod,louvain,FastConsensus(Louvain),AMI,1
,500,10,mod,louvain,FastConsensus(Louvain),ARI,1
,500,10,mod,louvain,FastConsensus(Louvain),FPR,0
,500,10,mod,louvain,FastConsensus(Louvain),FNR,0
,500,10,mod,louvain,FastConsensus(Louvain),Precision,1
,500,10,mod,louvain,FastConsensus(Louvain),Recall,1
,500,10,mod,louvain,FastConsensus(Louvain),F1-Score,1
,1000,10,mod,louvain,FastConsensus(Louvain),NMI,1
,1000,10,mod,louvain,FastConsensus(Louvain),AMI,1
,1000,10,mod,louvain,FastConsensus(Louvain),ARI,1
,1000,10,mod,louvain,FastConsensus(Louvain),FPR,0
,1000,10,mod,louvain,FastConsensus(Louvain),FNR,0
,1000,10,mod,louvain,FastConsensus(Louvain),Precision,1
,1000,10,mod,louvain,FastConsensus(Louvain),Recall,1
,1000,10,mod,louvain,FastConsensus(Louvain),F1-Score,1
,5000,10,mod,louvain,FastConsensus(Louvain),NMI,1
,5000,10,mod,louvain,FastConsensus(Louvain),AMI,1
,5000,10,mod,louvain,FastConsensus(Louvain),ARI,1
,5000,10,mod,louvain,FastConsensus(Louvain),FPR,0
,5000,10,mod,louvain,FastConsensus(Louvain),FNR,0
,5000,10,mod,louvain,FastConsensus(Louvain),Precision,1
,5000,10,mod,louvain,FastConsensus(Louvain),Recall,1
,5000,10,mod,louvain,FastConsensus(Louvain),F1-Score,1
