net,type,res,acc_value,acc_measure
cit_hepph,FastEnsemble(70% mix),mod,0.99553426,NMI
cit_hepph,FastEnsemble(70% mix),0.0001,0.98369596,NMI
cit_hepph,FastEnsemble(70% mix),0.001,0.99569505,NMI
cit_hepph,FastEnsemble(70% mix),0.01,0.9990521,NMI
cit_hepph,FastEnsemble(70% mix),0.1,0.74120292,NMI
cit_hepph,FastEnsemble(70% mix),0.5,0.70248291,NMI
cit_hepph,"FastEnsemble(0.1,0.01,0.001)",mod,0.55053793,NMI
cit_hepph,"FastEnsemble(0.1,0.01,0.001)",0.0001,0.96318089,NMI
cit_hepph,"FastEnsemble(0.1,0.01,0.001)",0.001,0.60694094,NMI
cit_hepph,"FastEnsemble(0.1,0.01,0.001)",0.01,0.92659753,NMI
cit_hepph,"FastEnsemble(0.1,0.01,0.001)",0.1,0.6915467,NMI
cit_hepph,"FastEnsemble(0.1,0.01,0.001)",0.5,0.70273301,NMI
cit_hepph,Louvain,mod,0.99444186,NMI
cit_hepph,Louvain,0.0001,0.91934566,NMI
cit_hepph,Louvain,0.001,0.9845486,NMI
cit_hepph,Louvain,0.01,0.87758769,NMI
cit_hepph,Louvain,0.1,0.97915835,NMI
cit_hepph,Louvain,0.5,0.21655063,NMI
cit_hepph,FastEnsemble(Louvain),mod,0.99539666,NMI
cit_hepph,FastEnsemble(Louvain),0.0001,0.9763934,NMI
cit_hepph,FastEnsemble(Louvain),0.001,0.99134792,NMI
cit_hepph,FastEnsemble(Louvain),0.01,0.96612734,NMI
cit_hepph,FastEnsemble(Louvain),0.1,0.98476752,NMI
cit_hepph,FastEnsemble(Louvain),0.5,0.73765584,NMI
cit_hepph,FastEnsemble(Lei-Lou),mod,0.99518143,NMI
cit_hepph,FastEnsemble(Lei-Lou),0.0001,0.97823407,NMI
cit_hepph,FastEnsemble(Lei-Lou),0.001,0.99155175,NMI
cit_hepph,FastEnsemble(Lei-Lou),0.01,0.97265047,NMI
cit_hepph,FastEnsemble(Lei-Lou),0.1,0.98186156,NMI
cit_hepph,FastEnsemble(Lei-Lou),0.5,0.74386615,NMI
cit_hepph,ECG,0.001,0.99992629,NMI
cit_hepph,ECG,0.01,0.98334701,NMI
cit_hepph,ECG,0.1,1,NMI
cit_hepph,FastEnsemble(50% mix),mod,0.99921399,ARI
cit_hepph,FastEnsemble(50% mix),0.0001,0.9729842,ARI
cit_hepph,FastEnsemble(50% mix),0.001,0.99939229,ARI
cit_hepph,FastEnsemble(50% mix),0.01,0.99851444,ARI
cit_hepph,FastEnsemble(50% mix),0.1,0.02496355,ARI
cit_hepph,FastEnsemble(50% mix),0.5,4.64E-05,ARI
cit_hepph,FastEnsemble(70% mix),mod,0.99925712,ARI
cit_hepph,FastEnsemble(70% mix),0.0001,0.96587893,ARI
cit_hepph,FastEnsemble(70% mix),0.001,0.99929948,ARI
cit_hepph,FastEnsemble(70% mix),0.01,0.99906471,ARI
cit_hepph,FastEnsemble(70% mix),0.1,0.06685942,ARI
cit_hepph,FastEnsemble(70% mix),0.5,0.00093019,ARI
cit_hepph,"FastEnsemble(0.1,0.01,0.001)",mod,0.02769825,ARI
cit_hepph,"FastEnsemble(0.1,0.01,0.001)",0.0001,0.44116852,ARI
cit_hepph,"FastEnsemble(0.1,0.01,0.001)",0.001,0.03372274,ARI
cit_hepph,"FastEnsemble(0.1,0.01,0.001)",0.01,0.42906498,ARI
cit_hepph,"FastEnsemble(0.1,0.01,0.001)",0.1,0.0313796,ARI
cit_hepph,"FastEnsemble(0.1,0.01,0.001)",0.5,0.00124384,ARI
cit_hepph,Louvain,mod,0.99908819,ARI
cit_hepph,Louvain,0.0001,0.83337186,ARI
cit_hepph,Louvain,0.001,0.99636979,ARI
cit_hepph,Louvain,0.01,0.66153032,ARI
cit_hepph,Louvain,0.1,0.88282324,ARI
cit_hepph,Louvain,0.5,0.01326752,ARI
cit_hepph,FastEnsemble(Louvain),mod,0.99924508,ARI
cit_hepph,FastEnsemble(Louvain),0.0001,0.94918438,ARI
cit_hepph,FastEnsemble(Louvain),0.001,0.99778493,ARI
cit_hepph,FastEnsemble(Louvain),0.01,0.87456524,ARI
cit_hepph,FastEnsemble(Louvain),0.1,0.91438181,ARI
cit_hepph,FastEnsemble(Louvain),0.5,0.22678129,ARI
cit_hepph,FastEnsemble(Lei-Lou),mod,0.99921399,ARI
cit_hepph,FastEnsemble(Lei-Lou),0.0001,0.9545656,ARI
cit_hepph,FastEnsemble(Lei-Lou),0.001,0.99784942,ARI
cit_hepph,FastEnsemble(Lei-Lou),0.01,0.89794457,ARI
cit_hepph,FastEnsemble(Lei-Lou),0.1,0.8973692,ARI
cit_hepph,FastEnsemble(Lei-Lou),0.5,0.25855153,ARI
cit_hepph,ECG,0.001,0.99999479,ARI
cit_hepph,ECG,0.01,0.98252537,ARI
cit_hepph,ECG,0.1,1,ARI
wiki_topcats,ECG,mod,0.888399347,AMI
cit_hepph,ECG,mod,1,AMI
cit_patents,ECG,mod,0.806442175,AMI
open_citations,ECG,mod,0.882184859,AMI
cen,ECG,mod,0.969154164,AMI
wiki_topcats,Leiden,mod,0.726260106,AMI
cit_hepph,Leiden,mod,0.99458948,AMI
cit_patents,Leiden,mod,0.649337369,AMI
open_citations,Leiden,mod,0.725430109,AMI
cen,Leiden,mod,0.864991308,AMI
wiki_topcats,FastEnsemble,mod,0.981153203,AMI
cit_hepph,FastEnsemble,mod,0.994782666,AMI
cit_patents,FastEnsemble,mod,0.976628091,AMI
open_citations,FastEnsemble,mod,0.971270449,AMI
cen,FastEnsemble,mod,0.981100142,AMI
cit_hepph,FastConsensus,mod,0.994329646,AMI
wiki_topcats,FastConsensus,mod,0.999221135,AMI
cen,Leiden,0.0001,0.81254217,AMI
cen,Leiden,0.001,0.873143248,AMI
cen,Leiden,0.01,0.934853698,AMI
cen,FastEnsemble,0.0001,0.972979081,AMI
cen,FastEnsemble,0.001,0.993213761,AMI
cen,FastEnsemble,0.01,0.951941834,AMI
open_citations,Leiden,0.0001,0.650979001,AMI
open_citations,Leiden,0.001,0.824671323,AMI
open_citations,Leiden,0.01,0.999975312,AMI
open_citations,Leiden,0.1,0.999195106,AMI
open_citations,Leiden,0.5,0.132189949,AMI
open_citations,FastEnsemble,0.0001,0.957370591,AMI
open_citations,FastEnsemble,0.001,0.97419236,AMI
open_citations,FastEnsemble,0.01,1,AMI
