,k,n,res,method,partition,acc_measure,acc_value
163,10000,10,0.001,leiden-cpm,Leiden-CPM,FPR,0.0
164,10000,10,0.001,leiden-cpm,Leiden-CPM,FNR,0.0
165,10000,10,0.001,leiden-cpm,Leiden-CPM,Precision,0.0
166,10000,10,0.001,leiden-cpm,Leiden-CPM,Recall,0.0
167,10000,10,0.001,leiden-cpm,Leiden-CPM,F1-Score,0.0
168,10000,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",NMI,0.9407158018245619
169,10000,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",AMI,0.0
170,10000,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",ARI,0.46365213975191566
171,10000,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",FPR,0.0
172,10000,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",FNR,0.0
173,10000,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",Precision,0.0
174,10000,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",Recall,0.0
175,10000,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",F1-Score,0.0
176,10000,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",NMI,0.9944241550736996
177,10000,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",AMI,0.0
178,10000,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",ARI,0.9232588742858094
179,10000,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",FPR,0.0
180,10000,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",FNR,0.0
181,10000,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",Precision,0.0
182,10000,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",Recall,0.0
183,10000,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",F1-Score,0.0
184,10000,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",NMI,1.0
185,10000,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",AMI,0.0
