,n,mu,partition,acc_measure,acc_value
222,100000,0.1,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.958579376
223,100000,0.1,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.90336191
224,100000,0.1,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.975032806
225,100000,0.1,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.935643486
226,100000,0.1,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.980585654
227,100000,0.1,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.94838001
228,100000,0.2,Leiden-MOD,NMI,0.934936752
229,100000,0.2,Leiden-MOD,ARI,0.835456883
230,100000,0.2,ECG,NMI,0.987473013
231,100000,0.2,ECG,ARI,0.988308939
232,100000,0.2,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.94622196
233,100000,0.2,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.867788216
234,100000,0.2,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.950550662
235,100000,0.2,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.873359708
236,100000,0.2,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.973967524
237,100000,0.2,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.92696208
238,100000,0.2,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.980023741
239,100000,0.2,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.94251692
240,100000,0.3,Leiden-MOD,NMI,0.896153537
241,100000,0.3,Leiden-MOD,ARI,0.615459934
242,100000,0.3,ECG,NMI,0.965542686
243,100000,0.3,ECG,ARI,0.9120727
244,100000,0.3,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.928934351
245,100000,0.3,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.824638588
246,100000,0.3,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.944318805
247,100000,0.3,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.854962299
248,100000,0.3,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.975414708
249,100000,0.3,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.936610819
250,100000,0.3,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.981424985
251,100000,0.3,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.952385941
252,100000,0.4,Leiden-MOD,NMI,0.740035693
253,100000,0.4,Leiden-MOD,ARI,0.164454625
254,100000,0.4,ECG,NMI,0.87648571
255,100000,0.4,ECG,ARI,0.71126071
256,100000,0.4,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.863098099
257,100000,0.4,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.680848764
258,100000,0.4,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.90416846
259,100000,0.4,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.74849102
260,100000,0.4,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.940914027
261,100000,0.4,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.831667389
262,100000,0.4,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.93587306
263,100000,0.4,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.833208606
264,100000,0.5,Leiden-MOD,NMI,0.37914943
265,100000,0.5,Leiden-MOD,ARI,0.03770381
266,100000,0.5,ECG,NMI,0.578477504
267,100000,0.5,ECG,ARI,0.188192712
268,100000,0.5,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.578431865
269,100000,0.5,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.163850932
270,100000,0.5,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.607572896
271,100000,0.5,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.179882192
272,100000,0.5,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.77988353
273,100000,0.5,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.465071828
274,100000,0.5,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.771764638
275,100000,0.5,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.415229475
276,100000,0.6,Leiden-MOD,NMI,0.132143982
277,100000,0.6,Leiden-MOD,ARI,0.006999965
278,100000,0.6,ECG,NMI,0.226285443
279,100000,0.6,ECG,ARI,0.016488265
280,100000,0.6,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.225996719
281,100000,0.6,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.019633633
282,100000,0.6,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.241102854
283,100000,0.6,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.023619408
284,100000,0.6,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.687397816
